WJA 	Cap color	Number of tubes	Test tubes	Who froze	Date frozen	Date I moved to LN2	# Tubes	Tank	Rack 	Rack-Box
7038	green	4	1	EV	6/24/24	7/3/24	1	JA1	1	1-5
							3	JA2	3	3-2
3189	brown	4	1	CW	6/27/24	7/3/24	3	JA1	1	1-5
							1	JA2	3	3-2
7036	yellow	4	1	CW	6/12/24	7/3/24	1	JA1	1	1-5
							3	JA2	3	3-2
5061	yellow	4	1	MM	6/12/24	7/3/24	3	JA1	1	1-5
							1	JA2	3	3-2
5063	green	4	1	MM	6/12/24	7/3/24	1	JA1	1	1-5
							3	JA2	3	3-2
5064	grey	4	1	MM	6/12/24	7/3/24	3	JA1	1	1-5
							1	JA2	3	3-2
5065	red	4	1	MM	6/12/24	7/3/24	1	JA1	1	1-5
							3	JA2	3	3-2
3192	blue	4	1	CW	6/28/24	7/3/24	3	JA1	1	1-5
							1	JA2	3	3-2
2106	green	8	1	CW	7/2/24	7/15/24	2	JA1	1	1-5
							5	JA2	3	3-2
3188	brown	4	1	CW	7/2/24	7/15/24	3	JA1	1	1-5
							1	JA2	3	3-2
0639	blue	17	1	CW	7/8/24	7/15/24	3	JA1	1	1-5
							14	JA2	3	3-2
7041	grey	4	1	CW	7/9/24	7/15/24	3	JA1	1	1-5
							1	JA2	3	3-2
7039	yellow	4	1	CW	7/10/24	7/15/24	1	JA1	1	1-5
							3	JA2	3	3-2
0908	yellow	4	1	BH	7/16/24	8/9/24	3	JA1	1	1-5
							1	JA2	3	3-2
7042	grey	4	1	EV	8/1/24	8/9/24	1	JA1	1	1-5
							3	JA2	3	3-2
7043	pink	4	1	EV	8/1/24	8/9/24	3	JA1	1	1-5
							1	JA2	3	3-2
7045	green	4	1	EV	8/6/24	8/9/24	1	JA1	1	1-5
							3	JA2	3	3-2
7046	grey	4	1	EV	8/9/24	8/29/24	3	JA1	1	1-5
							1	JA2	3	3-2
7044	yellow	4	1	EV	8/12/24	8/29/24	1	JA1	1	1-5
							3	JA2	3	3-2
5068	green	4	1	MM	8/20/24	8/29/24	3	JA1	1	1-5
							1	JA2	3	3-2
3195	brown	4	1	CW	8/23/24	8/29/24	1	JA1	1	1-5
							3	JA2	3	3-2
3190	red	4	1	CW	8/26/24	8/29/24	3	JA1	1	1-5
							1	JA2	3	3-2
1004	blue	4	1	CW	8/26/24	8/29/24	1	JA1	1	1-5
							3	JA2	3	3-2
3203	green	4	1	CW	8/26/24	8/29/24	3	JA1	1	1-5
							1	JA2	3	3-2
3204	yellow	4	1	CW	8/26/24	8/29/24	1	JA1	1	1-5
							3	JA2	3	3-2
3205	pink	4	1	CW	8/26/24	8/29/24	3	JA1	1	1-5
							1	JA2	3	3-2
7047	green	4	1	EV	8/27/24	9/5/24	3	JA1	1	1-5
							1	JA2	3	3-2
7052	brown	4	1	EV	8/27/24	9/5/24	1	JA1	6	6-4
							3	JA2	3	3-2
7055	purple	4	1	EV	8/27/24	9/5/24	3	JA1	1	1-5
							1	JA2	3	3-2
7056	pink	4	1	EV	8/27/24	9/5/24	1	JA1	6	6-4
							3	JA2	3	3-2
7049	blue	4	1	EV	8/28/24	9/5/24	3	JA1	6	6-4
							1	JA2	3	3-2
0936	brown	4	1	JAA	8/29/24	9/5/24	1	JA1	6	6-4
							3	JA2	3	3-2
0937	white	4	1	JAA	8/29/24	9/5/24	3	JA1	6	6-4
							1	JA2	3	3-2
7048	grey	4	1	EV	8/29/24	9/5/24	1	JA1	6	6-4
							3	JA2	1	1-2
7050	blue	4	1	EV	8/30/24	9/5/24	3	JA1	6	6-4
							1	JA2	3	3-2
7037	orange	4	1	EV	8/29/24	9/5/24	1	JA1	6	6-4
							3	JA2	1	1-2
0438	red	4	1	CW	9/3/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
7040	red	4	1	EV	9/10/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
7054	white	4	1	EV	9/10/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
3200	yellow	4	1	CW	9/10/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
7057	pink	4	1	EV	9/12/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
7059	lavender	4	1	EV	9/12/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
7060	green	4	1	EV	9/12/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
7061	grey	4	1	EV	9/12/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
7058	brown	4	1	EV	9/13/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
0935	yellow	4	1	BH	9/13/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
0938	pink	4	1	CW	9/16/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
0940	brown	4	1	CW	9/16/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
0941	white	4	1	CW	9/16/24	9/20/24	1	JA1	6	6-4
							3	JA2	1	1-2
3185	green	4	1	CW	9/16/24	9/20/24	3	JA1	6	6-4
							1	JA2	1	1-2
0939	white	4	1	JAA	9/23/24	10/2/24	1	JA1	6	6-4
							3	JA2	1	1-2
3193	yellow	4	1	CW	9/23/24	10/2/24	3	JA1	6	6-4
							1	JA2	1	1-2
3194	orange	4	1	CW	9/23/24	10/2/24	1	JA1	6	6-4
							3	JA2	1	1-2
7053	green	4	1	EV	9/20/24	10/2/24	3	JA1	6	6-4
							1	JA2	1	1-2